A Cave | Dungeon | 0x018B0191 [50 -10 0] -0.003491 0 0 -0.999994
A Drudge Nest | Dungeon | 0x01D80108 [21.4 -1.3 0] 0.233445 0 0 -0.97237
A Drudge Nest | Dungeon | 0x01DC015C [32.3 -12 6] -0.9262 0 0 -0.377033
A Mosswart Hideout | Dungeon | 0x02B40245 [80 -100 0] 1 0 0 0
A Mosswart Nest | Dungeon | 0x01DF0106 [7.1 -28.8 0.5] 0.955742 0 0 -0.294207
A Rat Nest | Dungeon | 0x01DD015F [30.1 -66.6 0] 0.999799 0 0 -0.02007
A Red Rat Lair | Dungeon | 0x01D90100 [3 -49.9 0] 0.707107 0 0 -0.707107
A Ruin | Dungeon | 0x0187011D [10 -30 0] 0.737277 0 0 -0.67559
A Ruin | Dungeon | 0x01B8012E [30.29 -48.72 0] -0.999921 0 0 -0.012566
A Ruin | Dungeon | 0x01B9011F [0 -10 0] 0.725855 0 0 -0.687848
A Ruin | Dungeon | 0x01DA010F [11.4 -21.6 0] -0.700909 0 0 -0.71325
A Ruin | Dungeon | 0x01DE0195 [30.1 -8.2 0] -0.01658 0 0 -0.999863
A Small Cave | Dungeon | 0x01E70121 [58.561 -28.65 0] -0.551937 0 0 -0.833886
A Small Ruin Portal | Dungeon | 0x01480139 [50 -30 0] 0.71934 0 0 -0.694658
Abandoned Arena | Dungeon | 0x01A80156 [40 -10 0] 0.004206 0 0 -0.999991
Abandoned Armory Portal | Dungeon | 0x5645023C [90 -80 0.005] 1 0 0 0
Abandoned Mine | Dungeon | 0x01C9022D [72.9 -30.2 0] 0.139173 0 0 -0.990268
Abandoned Shops Portal | Dungeon | 0x0159018F [180.2 -51.2 0] 1 0 0 0
Abandoned Tumerok Site | Dungeon | 0x02840211 [20 0 0] 0 0 0 -1
Abandoned Tumerok Site | Dungeon | 0x18B3002F [135.025 152.456 21.3003] 1 0 0 0
Abayar's Laboratory | Dungeon | 0x018E037B [11.736 -150.022 0.005] 0.707107 0 0 -0.707107
Abayar's Study | Dungeon | 0x01990175 [50.0151 -155.699 0.005] 1 0 0 0
Abhorrent Vault | Dungeon | 0x02D40260 [70 -20 0.005] 1 0 0 0
Abyssal Olthoi Chasm | Dungeon | 0x5D4E02EF [70 -18.4296 0.005] 1 0 0 0
AC Blue Room Portal | Dungeon | 0x02FA0100 [0 0 0] -0.087156 0 0 -0.996195
AC Orange Room Portal | Dungeon | 0x010D0100 [0 0 0] 1 0 0 0
AC Purple Room Portal | Dungeon | 0x010E0100 [0 0 0] 1 0 0 0
AC Red Room Portal | Dungeon | 0x010F0100 [0 0 0] 1 0 0 0
AC Room of Cheese Portal | Dungeon | 0x02F90100 [0 0 0] 1 0 0 0
AC Storage Portal | Dungeon | 0x01110108 [10 -10 0] -0.382683 0 0 -0.92388
Access to Crystal Mines | Dungeon | 0x75D70015 [59.981 108.173 430.18] -0.707107 0 0 -0.707107
Accord Veranda Portal | Dungeon | 0x90000161 [83.74 -93.75 0] 0.39314 0 0 -0.919479
Accursed Halls Portal | Dungeon | 0x01F90101 [0 -130 -18] 0.906308 0 0 -0.422618
Accursed Mausoleum of Slaughter | Dungeon | 0x002701B2 [50 -40 -17.995] 1 0 0 0
Acid Cistern Core | Dungeon | 0x56570132 [50 -81 0] 1 0 0 0
Acid Guardian Lair | Dungeon | 0x5943014A [47.5 -2.5 6.005] 0 0 0 -1
Acid Pit Bypass | Dungeon | 0x654D0377 [149.266 -32.2792 -17.995] -0.044898 0 0 0.998992
Acid Ziggurat | Dungeon | 0x58460104 [20 -20 0.005] -0.707107 0 0 -0.707107
Acidic Refuge | Dungeon | 0x576C01C1 [14.3607 -40 6.005] -0.707107 0 0 0.707107
Acolyte's Chamber | Dungeon | 0x00DD0102 [9.51546 -20.0248 0.006] 0.709322 0 0 -0.704884
Adams' Beach Portal | Dungeon | 0x3DC7001B [74.931 65.051 0.005] -0.364633 0 0 -0.931151
Adept's Domain Portal | Dungeon | 0x51A3001C [73.558 87.934 38.677] 0.957687 0 0 -0.287812
Adventurer's Haven | Dungeon | 0x01AC010C [10.28 -19.9 0] 0.709017 0 0 -0.705191
Adventurer's Haven Cottages Portal | Dungeon | 0xAC810024 [101.186 91.024 27.987] -0.924772 0 0 -0.380522
Advocate Dungeon Portal | Dungeon | 0x018A017F [180 -90 0] 1 0 0 0
Aerbax Haven | Dungeon | 0x029F017E [60 -610 0] 1 0 0 0
Aerbax Laboratory | Dungeon | 0x029E0269 [50 -10 6] 0 0 0 -1
Aerbax's Holding | Dungeon | 0x594B012B [140 0 0.005] 0 0 0 -1
Aerfalle Keep Portal | Dungeon | 0x01F50229 [50 -180 0] 1 0 0 0
Aerlinthe Island Portal | Dungeon | 0xBAE8001D [84 105 26] 0 0 0 -1
Aerlinthe Lower Reservoir Portal | Dungeon | 0x02ED01B5 [70 -30 -72] 1 0 0 0
Aerlinthe Reservoir Portal | Dungeon | 0x02EE03D2 [80 -110 6] 1 0 0 0
Ahr-Zona Portal | Dungeon | 0x9664001B [95.507 69.009 14.254] 0.963523 0 0 -0.267625
Ahurenga | POI | 0x0FB90009 [43 8.6 0.005] -0.980098 0 0 -0.198513
Ahurenga Portal | Dungeon | 0x0FB90009 [43 8.6 0.005] -0.980098 0 0 -0.198513
Aimaru Plains Cottages Portal | Dungeon | 0xDD5C0012 [66.61 45.306 19.556] 0.917189 0 0 -0.398453
Al-Arqas | Town | 0x8F58003B [183.851 60.183 9.326] 0.707107 0 0 -0.707107
Al-Arqas Meeting Hall Portal | Dungeon | 0x011D0126 [30 -60 6] 1 0 0 0
Al-Arqas Portal | Dungeon | 0x8F58003B [183.851 60.183 9.326] 0.707107 0 0 -0.707107
Al-Arqis Cottages Portal | Dungeon | 0x7C700003 [18.033 53.732 9.985] 0.992475 0 0 -0.12245
Al-Hatar Settlement Portal | Dungeon | 0x96540003 [21.996 54.364 10.005] 0.842147 0 0 -0.539248
Al-Jalima | Town | 0x8588002C [120.359 95.47 90.049] 1 0 0 0
Al-Jalima Meeting Hall Portal | Dungeon | 0x011E0126 [30 -60 6] 1 0 0 0
Al-Jalima Portal | Dungeon | 0x8588002C [120.359 95.47 90.049] 1 0 0 0
Al-Kasan Settlement Portal | Dungeon | 0x8B550030 [127.721 175.309 15.798] -0.195211 0 0 -0.980761
Al-Mar Oasis Portal | Dungeon | 0x94440025 [113.623 110.613 14.536] -0.040725 0 0 -0.99917
Al-Nosaj Portal | Dungeon | 0x9170001B [76.407 55.658 13.367] 0.993825 0 0 -0.110957
Alaidain Dormitory Conveyance | Dungeon | 0x64440144 [90 -300 -23.995] 1 0 0 0
Alfreth Dungeon | Dungeon | 0x01D601B9 [135.8 -1.22 0] -0.72176 0 0 -0.692143
Alfreth Ridge Cottages Portal | Dungeon | 0x8C98001C [80.542 91.712 124.005] 0.975659 0 0 -0.219293
Allain Court Portal | Dungeon | 0x81000161 [83.74 -93.75 0] 0.39314 0 0 -0.919479
Aloria Portal | Dungeon | 0x5EBE001B [78.813 65.867 22.005] 0.99964 0 0 -0.026849
Alphus Court Portal | Dungeon | 0x7A000161 [83.74 -93.75 0] 0.39314 0 0 -0.919479
Altar Nest | Dungeon | 0x00850151 [50 -80 18] 1 0 0 0
Alvador Portal | Dungeon | 0xB2D40016 [64.943 121.646 62.357] 0.89032 0 0 -0.455335
Alvan Court | Dungeon | 0x536001D7 [83.74 -93.75 0] 0.39314 0 0 -0.919479
Amarand Villas Portal | Dungeon | 0x73AF001F [87.889 160.404 110.005] 0.303992 0 0 -0.952675
Amiantos Bethel Portal | Dungeon | 0x01130211 [30 -20 6] 0.707107 0 0 -0.707107
Amperehelion Vault Portal | Dungeon | 0x01190371 [60 -110 42] -0.707107 0 0 -0.707107
An Archive | Dungeon | 0x564601DC [29.8764 -251.507 0.005] 1 0 0 0
An Olthoi Soldier Nest | Dungeon | 0x02820234 [120 -10 0] -0.707107 0 0 -0.707107
An Olthoi Soldier Nest | Dungeon | 0x20B70006 [18.4813 135.616 90.005] 1 0 0 0
Anadil Portal | Dungeon | 0x7AD6001B [88.827 61.328 203.718] -0.991904 0 0 -0.126987
Ancient Caves | Dungeon | 0x00D10E92 [160 -150 -2.91085] 1 0 0 0
Ancient Cloister | Dungeon | 0x00EB014E [100.057 -192.475 -29.995] 1 0 0 0
Ancient Empyrean Grotto | Dungeon | 0x027C01B0 [40 0 0.1] 0 0 0 -1
Ancient Empyrean Grotto | Dungeon | 0x24C10002 [9.44261 30.4735 93.5788] 1 0 0 0
Ancient Lighthouse Portal | Dungeon | 0x01A902D5 [60 -20 0] 0 0 0 -1
Ancient Masonry | Dungeon | 0x008B0155 [50 -230 0.005] 1 0 0 0
Ancient Temple | Dungeon | 0x594D03E2 [60 -50 0.005] 1 0 0 0
Ancient Town | Dungeon | 0xB1320012 [66.2 39.1 50.5] 0 0 0 -1
Antechamber | Dungeon | 0x594F02C2 [140 -156.951 0.005] 1 0 0 0
Antechamber | Dungeon | 0x5E430109 [120 -33.2331 0.005] 1 0 0 0
Apostate Citadel Barracks | Dungeon | 0x284201E0 [80 -480 6.005] 1 0 0 0
Apostate Citadel Headquarters | Dungeon | 0x284201C9 [70 -190 6.005] 1 0 0 0
Apostate Citadel Mines | Dungeon | 0x28420163 [210 -710 0.005] 1 0 0 0
Apostate Excavation | Dungeon | 0x39600107 [118 -5 -15.595] 0.707107 0 0 -0.707107
Aqalah Portal | Dungeon | 0x7C760005 [18.381 115.378 10.858] 0.616383 0 0 -0.787446
Arcanum Furniture Shop | Dungeon | 0x039C01F4 [16 -9 0] 0.707107 0 0 -0.707107
Arcanum Research Facility | Dungeon | 0x545B0121 [50 -50 0] 1 0 0 0
Arcanum Storehouse | Dungeon | 0x545C067B [90 -260 0.005] 1 0 0 0
Arcanum Storehouse Lower Level | Dungeon | 0x545C0619 [50 -110 0.005] 1 0 0 0
Arcanum Storehouse Middle Level | Dungeon | 0x545C0619 [40 -291.682 -11.995] 1 0 0 0
Arcanum Storehouse Upper Level | Dungeon | 0x545C0681 [220 -310 0.005] 1 0 0 0
Archive | Dungeon | 0x193604BC [146.681 -8.62729 -4.8255] 0.779756 0 0 -0.626083
Ardent Realm Portal | Dungeon | 0xA84D002D [129.343 110.776 28.005] -0.67676 0 0 -0.736203
Arena | Dungeon | 0x02E201A3 [130 -50 12] -0.446198 0 0 -0.894934
Arena | Dungeon | 0x02E301A3 [130 -50 12] -0.446198 0 0 -0.894934
