# wcid, name, clothingbase_did, palettetemplate_int, shade_float
2628,Aegis,10000114,83,
2629,Aegis,1000015d,77,
2630,Aegis,10000157,8,
2631,Aegis,10000159,82,
2632,Aegis,1000015a,14,
2633,Aegis,10000156,2,
3594,Aegis,1000015b,61,
1454,Acid Yoroi Breastplate,10000025,20,0.33
1458,Fiery Helm,1000002d,20,0.66
2027,Alatar's Helm,1000002c,20,0.66
2028,Alatar's Platemail Hauberk,100000a5,20,0.66
2033,Featherlight Plate Breastplate,10000004,20,0.33
2034,Featherlight Plate Bracers,1000000e,20,0.66
2035,Featherlight Plate Girth,10000045,20,0.33
2036,Featherlight Plate Greaves,10000049,20,0.33
2037,Featherlight Plate Hauberk,100000a5,20,0.66
2038,Plate Leggings,10000016,20,0.66
2039,Plate Sleeves,10000032,20,0.66
2197,Iron Crown,10000035,20,0.66
3706,Olthoi Cuirass,100000a0,13,0.66
3707,Obsidian Crown,10000035,39,0.66
3715,Olthoi Helm,1000002c,13,0.66
4137,Asheron's Jumpsuit,10000161,2,0.5
4138,Empyrean Jumpsuit,10000162,14,0.5
4223,Armoredillo Hide Breastplate,100004d5,4,0.66
4224,Armoredillo Hide Coat,100004d1,4,0.66
4225,Gromnie Hide Pauldrons,1000004f,1,0.66
4226,Gromnie Hide Cuirass,1000009f,10,0.66
4227,Gromnie Hide Shirt,100000a9,4,0.66
4228,Reedshark Hide Greaves,10000057,6,0.66
4229,Reedshark Hide Leggings,1000004d,4,0.66
4230,Mattekar Hide Sleeves,1000002e,9,0.66
4231,Mattekar Hide Coat,10000413,9,0.66
4981,Ice Heaume of Frore,100000ad,22,0.8
5532,Sentinel Jumpsuit,1000017e,14,1
5592,Sentinel Jumpsuit 1,1000017e,8,1
5593,Sentinel Jumpsuit 2,1000017e,13,1
5594,Sentinel Jumpsuit 3,1000017e,14,1
6593,Celdon Shadow Breastplate,10000188,20,0.6
6594,Greater Celdon Shadow Breastplate,10000188,21,0.6
6595,Lesser Celdon Shadow Breastplate,10000188,14,0.7
6596,Koujia Shadow Breastplate,1000018c,20,0.8
6597,Greater Koujia Shadow Breastplate,1000018c,21,1
6598,Lesser Koujia Shadow Breastplate,1000018c,14,0.2
6599,Amuli Shadow Coat,100001a1,20,1
6600,Greater Amuli Shadow Coat,100001a1,21,0.3
6601,Lesser Amuli Shadow Coat,100001a1,14,0.6
6602,Celdon Shadow Girth,10000183,20,0.6
6603,Greater Celdon Shadow Girth,10000183,21,0.6
6604,Lesser Celdon Shadow Girth,10000183,14,0.7
6605,Amuli Shadow Leggings,100001a0,9,0.9
6606,Greater Amuli Shadow Leggings,100001a0,18,0.3
6607,Lesser Amuli Shadow Leggings,100001a0,14,0.6
6608,Celdon Shadow Leggings,10000184,20,0.6
6609,Greater Celdon Shadow Leggings,10000184,21,0.6
6610,Lesser Celdon Shadow Leggings,10000184,14,0.7
6611,Koujia Shadow Leggings,10000189,20,0.8
6612,Greater Koujia Shadow Leggings,10000189,21,1
6613,Lesser Koujia Shadow Leggings,10000189,14,0.2
6614,Celdon Shadow Sleeves,10000187,20,0.6
6615,Greater Celdon Shadow Sleeves,10000187,21,0.6
6616,Lesser Celdon Shadow Sleeves,10000187,14,0.7
6617,Koujia Shadow Sleeves,1000018b,9,0.6
6618,Greater Koujia Shadow Sleeves,1000018b,18,1
6619,Lesser Koujia Shadow Sleeves,1000018b,14,0.2
6797,Nexus Celdon Breastplate,10000188,2,0.1
6798,Nexus Koujia Breastplate,1000018c,2,0.1
6799,Nexus Amuli Coat,100001a1,2,0.1
6800,Nexus Celdon Girth,10000183,2,0.1
6801,Nexus Amuli Leggings,100001a0,2,0.1
6802,Nexus Celdon Leggings,10000184,2,0.1
6803,Nexus Koujia Leggings,10000189,2,0.1
6804,Nexus Celdon Sleeves,10000187,2,0.1
6805,Nexus Koujia Sleeves,1000018b,2,0.1
6842,Neydisa Hauberk,10000006,14,0.1
7400,Heaume of the Inscrutable Mind,1000026b,20,0.2
7628,Greater Celdon Shadow Breastplate,10000188,21,0.5
7629,Greater Celdon Breastplate of Acid,10000188,8,0.6
7630,Greater Celdon Breastplate of Flame,10000188,14,0.2
7631,Greater Celdon Breastplate of Frost,10000188,2,0.5
7632,Greater Celdon Breastplate of Lightning,10000188,13,0.5
7633,Lesser Celdon Shadow Breastplate,10000188,14,0.6
7634,Lesser Celdon Breastplate of Acid,10000188,8,0.9
7635,Lesser Celdon Breastplate of Flame,10000188,14,0.7
7636,Lesser Celdon Breastplate of Frost,10000188,2,0.3
7637,Lesser Celdon Breastplate of Lightning,10000188,13,0.4
7638,Celdon Shadow Breastplate,10000188,20,0.5
7639,Celdon Breastplate of Acid,10000188,8,0.3
7640,Celdon Breastplate of Flame,10000188,14,0.9
7641,Celdon Breastplate of Frost,10000188,2,0.9
7642,Celdon Breastplate of Lightning,10000188,13,0.9
7643,Greater Koujia Shadow Breastplate,1000018c,21,0.9
7644,Greater Koujia Breastplate of Acid,1000018c,8,0.3
7645,Greater Koujia Breastplate of Flame,1000018c,14,0.3
7646,Greater Koujia Breastplate of Frost,1000018c,2,0.3
7647,Greater Koujia Breastplate of Lightning,1000018c,13,0.9
7648,Lesser Koujia Shadow Breastplate,1000018c,14,0.1
7649,Lesser Koujia Breastplate of Acid,1000018c,8,0.6
7650,Lesser Koujia Breastplate of Flame,1000018c,14,0.6
7651,Lesser Koujia Breastplate of Frost,1000018c,2,0.7
7652,Lesser Koujia Breastplate of Lightning,1000018c,13,0.2
7653,Koujia Shadow Breastplate,1000018c,20,0.7
7654,Koujia Breastplate of Acid,1000018c,8,0.9
7655,Koujia Breastplate of Flame,1000018c,14,0.8
7656,Koujia Breastplate of Frost,1000018c,2,0.9
7657,Koujia Breastplate of Lightning,1000018c,13,0.4
7658,Greater Amuli Shadow Coat,100001a1,21,0.2
7659,Greater Amuli Coat of Acid,100001a1,8,0.3
7660,Greater Amuli Coat of Flame,100001a1,19,0.3
7661,Greater Amuli Coat of Frost,100001a1,2,0.3
7662,Greater Amuli Coat of Lightning,100001a1,13,0.5
7663,Lesser Amuli Shadow Coat,100001a1,14,0.5
7664,Lesser Amuli Coat of Acid,100001a1,8,0.6
7665,Lesser Amuli Coat of Flame,100001a1,14,0.6
7666,Lesser Amuli Coat of Frost,100001a1,2,0.6
7667,Lesser Amuli Coat of Lightning,100001a1,13,0.6
7668,Amuli Shadow Coat,100001a1,20,0.9
7669,Amuli Coat of Acid,100001a1,8,0.9
7670,Amuli Coat of Flame,100001a1,14,1
7671,Amuli Coat of Frost,100001a1,2,0.8
7672,Amuli Coat of Lightning,100001a1,13,0.8
7673,Amuli Shadow Coat,100001a1,20,1
7674,Greater Celdon Shadow Girth,10000183,21,0.5
7675,Greater Celdon Girth of Acid,10000183,8,0.6
7676,Greater Celdon Girth of Flame,10000183,14,0.2
7677,Greater Celdon Girth of Frost,10000183,2,0.5
7678,Greater Celdon Girth of Lightning,10000183,13,0.5
7679,Lesser Celdon Shadow Girth,10000183,14,0.6
7680,Lesser Celdon Girth of Acid,10000183,8,0.9
7681,Lesser Celdon Girth of Flame,10000183,14,0.7
