# setup ID, motion table, sound table, combat table
02000001,09000001,20000001,30000000
020004B6,09000070,20000034,
020004C6,,20000014,
0200058F,,20000014,
02000578,,20000014,
0200057A,,20000014,
0200057B,,20000014,
02000577,,20000014,
0200057C,,20000014,
02000271,,,
020010AC,09000160,20000014,
020005F7,,20000014,
020005F9,,20000014,
02000A27,,20000014,
02000A28,,20000014,
02000C63,,20000014,
02000C64,,20000014,
02000EB3,,20000014,
02000EB4,,20000014,
02000124,,20000014,
0200012A,,20000014,
020003CE,,20000014,
0200054B,,20000014,
020004E9,,20000014,
020004FD,,20000014,
020004F0,,20000014,
020004EE,,20000014,
020004EF,,20000014,
020004ED,,20000014,
0200090B,,20000014,
0200090C,,20000014,
020009FC,,20000014,
020009FA,,20000014,
020009FB,,20000014,
020009FF,,20000014,
020009FD,,20000014,
020009FE,,20000014,
02000BBA,,20000014,
02000C62,,20000014,
02000C5E,,20000014,
02000C60,,20000014,
02000C5F,,20000014,
02000E1D,,20000014,
02000E2C,,20000014,
02000E1E,,20000014,
02000C5B,,20000014,
02000C5D,,20000014,
02000C5C,,20000014,
0200109C,,20000014,
0200109B,,20000014,
0200109A,,20000014,
02000E47,,,
02000155,,20000014,
02000708,,20000014,
020003BF,,20000014,
02000153,,20000014,
02000158,,20000014,
02000154,,20000014,
02000290,,20000014,
0200062E,,,
0200062D,,20000014,
02000642,,,
020007C3,,,
0200031D,,,
020009AA,,20000014,
020009B6,,20000014,
020009B8,,20000014,
020009B7,,20000014,
020009B9,,20000014,
020009C1,,20000014,
020009D9,,,
0200018A,,,
02000A02,,20000014,
02000A1B,090000B4,20000072,
02000A1C,090000B5,20000072,
020000D7,,20000014,
02000A54,,,
02000B0E,,,
02000BA5,,,
02000BE2,,20000014,
02000C9C,,,
02000E69,,,
02000EA3,,,
02000E9D,,20000014,
020000F2,,20000014,
020006DD,,,
02000EEE,,20000014,
02000F6A,,20000014,
02001002,,,
02000FE8,,20000014,
02000FEA,,20000014,
0200105C,,20000014,
02001074,,20000014,
020010DC,,20000014,
0200122C,,20000014,
02001231,,20000014,
0200122D,,20000014,
02001230,,20000014,
02000041,090000AE,20000014,
0200122F,,20000014,
0200122E,,20000014,
02000110,,20000014,
020000ED,,20000014,
0200017C,,20000014,
0200024E,,20000014,
02000EE9,,20000014,
02000ED4,,20000014,
02000EF2,,20000014,
0200061F,,20000014,
02000620,,20000014,
02000896,,20000014,
02000EE0,,20000014,
0200091F,,20000014,
02000986,,20000014,
020009AD,,20000014,
020009D1,,20000014,
020009C7,,20000014,
020009C5,,20000014,
